,sarimax,prophet,general forecast
2023-07-14,20079.22264959559,0.0,12682.32
2023-07-15,54668.803301268345,0.0,34528.2
2023-07-16,45394.60158556629,0.0,28670.852
2023-07-17,13226.54221988971,0.0,8354.347
2023-07-18,12047.876611029575,0.0,7609.9326
2023-07-19,20360.937505966845,0.0,12860.244
2023-07-20,14805.338286742004,0.0,9351.472
2023-07-21,19968.325561994694,0.0,12612.28
2023-07-22,53054.738158968335,0.0,33508.797
2023-07-23,45363.5306672603,0.0,28651.227
2023-07-24,13765.66556134195,0.0,8694.842
2023-07-25,12088.55260577083,0.0,7635.621
2023-07-26,20141.257219317802,0.0,12721.501
2023-07-27,15070.377951335468,0.0,9518.865
2023-07-28,19886.76857274502,0.0,12560.771
2023-07-29,51564.44822261168,0.0,32567.564
2023-07-30,45310.62482972222,0.0,28617.816
2023-07-31,14314.000624053275,0.0,9041.156
2023-08-01,12145.405324119734,0.0,7671.5283
2023-08-02,19931.1345113557,0.0,12588.793
2023-08-03,15324.829852071018,0.0,9679.57
2023-08-04,19817.94962787233,0.0,12517.307
2023-08-05,50153.35284587806,0.0,31676.357
2023-08-06,45222.33239392406,0.0,28562.055
2023-08-07,14856.32416922307,0.0,9383.674
2023-08-08,12213.340095557922,0.0,7714.4346
2023-08-09,19728.303880311425,0.0,12460.689
2023-08-10,15564.731164202878,0.0,9831.085
2023-08-11,19760.702386760597,0.0,12481.151
2023-08-12,48815.47083973667,0.0,30831.385
2023-08-13,45104.88621801239,0.0,28487.875
2023-08-14,15395.107177506792,0.0,9723.955
2023-08-15,12294.450345257254,0.0,7765.661
2023-08-16,19534.291144859537,0.0,12338.156
2023-08-17,15793.165505936557,0.0,9975.358
2023-08-18,19712.773737275144,0.0,12450.88
2023-08-19,47542.033699528474,0.0,30027.115
2023-08-20,44955.650829311984,0.0,28393.627
2023-08-21,15926.507993837648,0.0,10059.574
2023-08-22,12384.850380351205,0.0,7822.756
2023-08-23,19348.334325153715,0.0,12220.709
2023-08-24,16008.255551924458,0.0,10111.204
2023-08-25,19674.07658307168,0.0,12426.44
2023-08-26,46334.219726353826,0.0,29264.287
2023-08-27,44780.32254126154,0.0,28282.893
2023-08-28,16450.91156963993,0.0,10390.773
2023-08-29,12485.65305871403,0.0,7886.4194
2023-08-30,19171.05878092429,0.0,12108.746
2023-08-31,16211.201723239543,0.0,10239.38
2023-09-01,19643.675583481556,0.0,12407.24
2023-09-02,45187.67360856444,0.0,28540.16
2023-09-03,44580.31808540646,0.0,28156.57
2023-09-04,16967.277492773097,0.0,10716.896
2023-09-05,12595.930023417195,0.0,7956.067
2023-09-06,19002.500108499607,0.0,12002.29
2023-09-07,16402.457194771545,0.0,10360.172
2023-09-08,19620.803061303177,0.0,12392.795
2023-09-09,44099.503237547244,0.0,27852.9
2023-09-10,44358.17019377877,0.0,28016.27
